Artist,Track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence
Ec8or,Cocain Ducks,0.0205,0.46,217227,0.847,0.105,6,0.385,-9.548,1,8,0.153,95.444,4,0.174
The New York Dolls,Human Being,8.79e-05,0.255,441133,0.9,0.0319,4,0.972,-5.978,1,1,0.0767,161.703,4,0.465
Eliane Elias,The More I See You,0.837,0.605,251827,0.493,0.039,7,0.0807,-11.455,1,24,0.0289,128.705,4,0.683
Lost Boyz,Certain Things We Do,0.0119,0.686,269760,0.547,0.0,7,0.0442,-11.19,1,14,0.193,90.263,4,0.737
The Germs,Forming,0.0635,0.395,185720,0.94,0.000121,6,0.111,-6.295,1,22,0.0533,133.099,4,0.528
Yamandu Costa,MafuÃ¡,0.869,0.444,383190,0.412,0.809,0,0.133,-10.095,1,22,0.04,90.147,4,0.35
Chris Rea,Driving Home For Christmas,0.328,0.497,240213,0.661,0.000317,9,0.211,-9.047,1,51,0.0361,180.225,4,0.894
Perrey And Kingsley,Spooks In Space,0.724,0.833,125000,0.874,0.0327,8,0.211,-10.585,1,12,0.322,102.294,4,0.205
Francis Dunnery,Too Much Saturn,0.249,0.575,246067,0.825,0.0,10,0.317,-5.622,1,14,0.0634,129.82,4,0.908
Suzanne Ciani,Stream,0.769,0.258,257040,0.423,0.944,7,0.709,-13.771,1,2,0.0388,104.3,4,0.286
Vickie Winans,Make Me Over,0.147,0.794,231867,0.753,0.0,11,0.0666,-8.927,0,0,0.0799,107.988,4,0.689
The Berzerker,Deform (live),0.00126,0.273,165616,0.996,0.0157,2,0.309,-6.068,1,2,0.399,114.835,4,0.0492
Kings Of Leon,Wicker Chair,0.0592,0.645,187933,0.704,0.0,0,0.17,-5.437,1,32,0.0309,116.818,4,0.475
Edith Lefel,An ti chans',0.0624,0.66,277347,0.949,0.0943,0,0.213,-4.741,1,3,0.0458,102.005,4,0.911
Taras,I Will Love Again (JJ's Club Radio),0.000123,0.606,200264,0.887,0.000908,3,0.352,-6.512,0,0,0.0291,127.996,4,0.757
NOFX,Stickin In My Eye,0.0011,0.299,144467,0.97,0.00752,9,0.0994,-7.494,1,53,0.0799,153.528,4,0.232
Murskahumppa,Ota kiinni,0.000534,0.254,285347,0.614,2.53e-06,7,0.0865,-7.642,1,0,0.0373,127.527,4,0.287
Xcultures,Sudanese Dance,0.00503,0.671,273533,0.802,0.0946,1,0.0879,-6.947,1,1,0.0378,124.975,4,0.827
White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),0.056,0.695,298778,0.666,0.000936,5,0.0752,-10.989,1,10,0.0691,113.284,4,0.362
Heavy D / McGruff,Wanna Be A Player,0.0719,0.838,161400,0.742,0.0,6,0.269,-9.032,0,11,0.305,97.013,4,0.719
Black Eyed Peas,Let's Get It Started,0.103,0.785,217213,0.794,0.0,2,0.196,-2.197,1,56,0.113,105.0,4,0.783
Nine Inch Nails,Metal,0.14,0.662,426000,0.35,0.84,5,0.117,-13.381,1,29,0.033,126.086,4,0.0393
Nadine Renee,Next Time,0.265,0.596,249382,0.591,0.0,2,0.0974,-6.86,1,7,0.034,84.031,4,0.28
Lesley Gore,It's My Party,0.368,0.692,140000,0.501,0.0,9,0.0393,-11.708,1,58,0.0625,128.388,4,0.961
Smartbomb,Complicate It,0.00179,0.57,233600,0.943,7.24e-06,0,0.296,-2.802,1,1,0.0687,132.049,4,0.813
Suburbs,Monde De Fou,0.0241,0.481,187240,0.916,9.97e-05,1,0.057,-4.349,1,0,0.0449,183.701,4,0.853
Julien Clerc,This Melody (Live),0.309,0.633,269267,0.489,0.0,7,0.948,-10.798,1,3,0.0336,112.699,4,0.502
Glen Campbell,I'm Gone This Time,0.105,0.655,143533,0.686,0.0,9,0.139,-10.978,1,2,0.0368,137.42,4,0.666
T.G. Sheppard,You Feel Good All Over,0.505,0.467,185800,0.404,0.013,5,0.726,-7.43,1,2,0.0272,85.658,3,0.357
Slim Whitman,Indian Love Call,0.97,0.242,190653,0.261,0.000253,3,0.1,-7.895,1,40,0.0335,203.913,4,0.386
Savage Garden,You Can Still Be Free,0.241,0.457,258267,0.357,6.79e-05,0,0.0625,-12.636,1,37,0.0326,118.029,4,0.0396
Queens Of The Stone Age,I Never Came,0.0589,0.572,288467,0.517,0.0676,2,0.0776,-7.834,1,37,0.0277,115.44,4,0.493
Hank Penny & The Lincoln Penny Orchestra,Dixie,0.521,0.573,128067,0.303,0.132,6,0.0628,-15.125,0,0,0.0515,121.268,4,0.66
Inspiral Carpets,Commercial Reign,0.000198,0.506,285093,0.902,0.156,9,0.251,-4.705,1,19,0.0458,113.618,4,0.764
Borialis,Hourglass,0.000145,0.485,239267,0.94,0.0,2,0.175,-5.674,1,11,0.0507,87.092,4,0.714
The Dirty Skirts,Wake,0.0369,0.531,207067,0.933,0.00711,0,0.339,-4.56,1,1,0.0395,141.889,4,0.555
Flor Silvestre,Caricia Y Herida,0.849,0.756,134769,0.49,0.00146,4,0.194,-7.115,1,1,0.0297,106.18,4,0.897
Redman,WKYA (drop),0.321,0.588,124200,0.649,0.0,1,0.299,-9.808,0,12,0.484,85.02,4,0.886
Eddie Cantor,Now's The Time To Fall In Love,0.983,0.875,150651,0.397,0.0734,2,0.112,-7.462,0,3,0.147,123.588,4,0.925
Kai Winding,Mangos,0.617,0.861,223520,0.471,0.00826,0,0.0967,-14.993,1,4,0.0437,112.258,4,0.701
Sonny Simmons,A Distant Voice,0.823,0.282,442991,0.011,0.11,0,0.0685,-17.782,1,3,0.0447,138.701,4,0.0791
Mira,Openbare Weg,0.93,0.591,182333,0.342,2.39e-05,4,0.0968,-8.3,1,7,0.0319,84.678,4,0.179
Citizen Kaned,President Johnson,0.00608,0.756,387333,0.804,0.761,11,0.526,-8.371,1,0,0.131,108.056,4,0.332
Ellen McIlwaine,Spontanous Combustion,0.0773,0.806,320613,0.66,0.0101,7,0.0377,-10.982,1,7,0.153,102.626,4,0.933
Vince Guaraldi / Bola Sete,Choro,0.841,0.428,294667,0.409,0.311,0,0.132,-14.467,0,20,0.0437,84.036,4,0.812
Maurice Chevalier,Ma Louise,0.871,0.429,176472,0.279,0.0,3,0.273,-15.196,1,11,0.0437,122.272,4,0.49
Carl Cox Vs Yousef,I Want You (Forever),0.000475,0.671,475640,0.969,0.822,4,0.0471,-5.683,0,7,0.0475,130.0,4,0.288
Organized Konfusion,Hate,0.00503,0.844,198467,0.475,0.0,11,0.19,-9.027,1,12,0.414,88.107,4,0.658
Martina McBride,I Can't Stop Loving You,0.739,0.473,261947,0.238,0.000131,7,0.113,-11.829,1,16,0.0252,66.657,4,0.355
Horace Andy,Thank You Lord,0.532,0.733,177911,0.565,3.1e-06,11,0.0912,-9.876,0,8,0.112,76.046,4,0.872
Tyrone Davis,Cheatin' In The Next Room,0.426,0.692,235907,0.435,0.00104,10,0.0668,-10.728,1,27,0.0374,80.989,4,0.713
Hot Tuna,Candy Man,0.452,0.362,216107,0.41,2.07e-06,7,0.679,-15.77,1,14,0.0365,85.952,4,0.647
Richard Burton,I See The Boys Of Summer,0.88,0.694,173726,0.0373,0.0,7,0.145,-25.234,1,2,0.495,105.197,5,0.431
Rory Block,Three Is a Crowd,0.854,0.287,266067,0.227,1.45e-05,1,0.117,-13.09,1,1,0.0331,180.805,4,0.336
Boyz II Men,On Bended Knee,0.413,0.631,329800,0.516,0.0,8,0.115,-8.225,1,58,0.0353,116.654,4,0.18
Howard Armstrong,My Four Reasons,0.788,0.737,198933,0.417,5.64e-06,5,0.362,-12.997,1,2,0.19,126.955,4,0.931
Miguel Gallardo,Eternamente Amame,0.661,0.63,237840,0.461,0.0,7,0.121,-12.377,0,20,0.0315,126.414,4,0.348
Les Ogres De Barback,Niev nietch nievitch,0.406,0.639,255440,0.762,0.524,4,0.0563,-5.76,0,6,0.0701,137.165,4,0.93
Wolfmother,White Feather,0.000185,0.571,184053,0.866,3.45e-05,9,0.303,-4.524,1,31,0.0479,111.388,4,0.657
The Roches,Christlike Roche,0.962,0.423,338333,0.121,0.000205,2,0.119,-13.303,0,4,0.0324,93.463,4,0.16
Bob Margolin,You Rascal You,0.941,0.836,126600,0.346,0.000174,4,0.114,-11.393,1,0,0.0538,110.144,4,0.964
Thomas Battenstein,Sympathy,0.881,0.557,206000,0.144,0.71,9,0.106,-15.877,0,0,0.052,103.688,3,0.18
Dharma Bums,Simon's Folly,0.0441,0.385,127907,0.904,0.603,6,0.0671,-4.855,1,0,0.0426,156.803,4,0.565
The Verve Pipe,Medicate Myself,0.00143,0.511,292827,0.781,0.0,9,0.0826,-4.641,1,10,0.0426,133.575,4,0.424
Bob Neuwirth,Biding Her Time,0.8,0.538,241067,0.0592,0.000103,4,0.0859,-17.066,1,20,0.042,151.503,3,0.326
James Hunter,Cowboy Ways,0.173,0.767,194653,0.651,0.0,2,0.165,-5.762,1,0,0.0271,114.972,4,0.701
Nelson Ned,Brasas Vivas,0.755,0.397,213213,0.328,3e-05,9,0.118,-13.928,0,1,0.0346,71.875,4,0.368
Mish Mash,Kolomeyke,0.753,0.551,254333,0.344,0.635,2,0.0859,-9.022,1,0,0.0832,151.857,4,0.731
Cama,In This Life,0.249,0.67,96476,0.894,0.0,11,0.0826,-5.199,0,0,0.271,79.526,4,0.892
Maxi Priest,Groovin' In The Midnight,0.0444,0.546,297533,0.619,3.7e-05,10,0.0677,-9.184,0,30,0.0429,92.829,4,0.539
Porcupine Tree,Waiting,0.00131,0.533,264480,0.437,0.393,6,0.0597,-12.132,0,32,0.0255,94.019,4,0.455
Foo Fighters,Hell,1.26e-05,0.177,117000,0.941,0.00302,7,0.314,-5.104,1,42,0.112,153.134,4,0.313
Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),0.016,0.797,234013,0.533,0.168,8,0.155,-9.554,0,0,0.069,99.989,4,0.688
Brazilian Tropical Orchestra,One Less Bell To Answer,0.354,0.125,192400,0.386,0.864,2,0.476,-8.981,0,0,0.0293,73.041,4,0.217
Gil Semedo,Festa,0.0214,0.746,285373,0.912,0.000683,11,0.0784,-6.528,1,1,0.0424,113.026,4,0.963
Soda Stereo,Te Hacen Falta Vitaminas,0.0516,0.582,158293,0.966,0.231,2,0.0412,-3.712,1,53,0.0675,186.296,4,0.948
Xmilk,Sense And Trick,2.39e-05,0.31,123733,0.944,0.876,0,0.104,-4.065,1,0,0.103,141.787,3,0.585
Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),0.0152,0.638,205333,0.432,0.768,6,0.121,-5.303,1,2,0.041,79.964,4,0.479
Perrey And Kingsley,Gossippo Perpetuo,0.616,0.605,128800,0.86,0.914,7,0.144,-12.4,1,3,0.0407,136.032,4,0.964
Sven Tasnadi,2190 Dias Contigo,0.206,0.841,570843,0.335,0.891,8,0.0989,-11.886,1,0,0.0613,123.028,4,0.354
Eddie,No Control,0.0342,0.614,187800,0.789,0.00132,9,0.114,-10.241,1,55,0.0342,113.701,4,0.899
Enthroned,The Vitalized Shell,0.000128,0.163,241053,0.993,0.0235,0,0.435,-4.765,0,0,0.111,136.528,4,0.0349
Suzanne Ciani,Mozart,0.977,0.376,191733,0.201,0.846,2,0.0714,-21.112,1,15,0.0373,139.706,3,0.224
Milan Band,Ciao Milan,0.779,0.685,151973,0.665,1.05e-05,8,0.0666,-8.64,1,0,0.0362,128.495,4,0.733
Johnny Osbourne,Lend Me Your Chopper,0.000848,0.717,212320,0.685,3.96e-05,6,0.115,-9.979,1,8,0.194,163.793,4,0.55
Dolly Parton,Letter To Heaven,0.662,0.68,123453,0.379,0.0,9,0.108,-10.269,1,22,0.0254,98.677,4,0.448
Rance Allen Group,Heaven is Where The Heart Is,0.862,0.555,208133,0.301,0.00395,7,0.0947,-14.256,1,3,0.0848,85.908,3,0.397
Pearl Jam,Inside Job,0.329,0.283,428560,0.487,0.0101,4,0.205,-7.979,0,41,0.0397,109.685,4,0.0739
Kiril Valeri,Bulgarian Dream,0.0666,0.471,306827,0.911,0.0187,11,0.141,-6.815,1,0,0.135,191.947,4,0.498
Word,Amalgama,0.451,0.699,229720,0.891,0.0,9,0.0575,-3.573,1,0,0.295,94.058,4,0.736
DJ Quik,Born and Raised In Compton,0.0239,0.733,205560,0.442,0.0,10,0.133,-14.498,0,44,0.37,181.634,4,0.86
Hank Locklin,We're Gonna Go Fishin',0.726,0.668,127320,0.518,1.25e-05,2,0.0913,-11.549,1,7,0.047,147.713,4,0.944
The Jordanaires,Sweet By And By,0.677,0.544,175760,0.244,0.0,0,0.129,-17.046,1,3,0.0454,159.559,3,0.482
Descendents,Orgofart,0.673,0.597,140667,0.208,0.0,0,0.36,-28.808,1,13,0.914,78.525,4,0.0376
L.A. Guns,Bitch Is Back,0.000312,0.59,172733,0.944,0.00265,1,0.326,-7.258,0,22,0.0462,123.404,4,0.368
Bare Jr.,Naked Albino,0.0499,0.408,253600,0.708,5.68e-06,10,0.746,-7.334,1,2,0.0462,107.467,4,0.366
Gary Hobbs,The Look Of Love,0.782,0.56,289640,0.524,0.237,0,0.0951,-8.483,1,0,0.0664,125.217,4,0.709
Diesel Boy,Cooler Than You,0.00053,0.437,124160,0.966,0.000249,11,0.138,-4.788,1,10,0.0653,111.907,4,0.743
Cradle Of Filth,Summer Dying Fast,0.000925,0.205,321347,0.95,0.1,2,0.432,-5.769,0,28,0.108,97.761,3,0.0635
Jim Chappell,Still,0.984,0.258,263933,0.107,0.851,0,0.0818,-18.241,1,1,0.0452,75.167,4,0.0387
Nine Inch Nails,The Frail,0.958,0.141,114040,0.00327,0.899,0,0.243,-34.883,1,42,0.045,79.699,3,0.199
Susana Seivane,Para Milladoiro,0.00187,0.378,353093,0.492,0.81,10,0.0796,-12.501,1,4,0.0284,152.041,4,0.215
Test Icicles,Snowball,0.00126,0.516,190253,0.931,2.14e-06,9,0.0892,-3.351,1,2,0.0784,150.044,4,0.647
Heaven 17,(We Don't Need This) Fascist Groove Thang,0.216,0.691,261133,0.931,0.656,7,0.631,-7.457,1,38,0.121,150.093,4,0.684
Mance Lipscomb,Going Down Slow,0.975,0.606,187440,0.0731,0.00579,4,0.108,-21.566,1,9,0.0555,100.368,4,0.674
Scott Wesley Brown,All Rise,0.583,0.256,296960,0.312,6.01e-05,2,0.107,-13.987,1,5,0.0313,68.731,4,0.084
Moss,Silent Hill,0.973,0.544,183072,0.281,0.924,11,0.105,-14.472,0,32,0.0406,80.978,4,0.134
Pery Ribeiro,Our Love Is Here To Stay,0.905,0.728,177586,0.304,0.000472,7,0.337,-17.358,1,3,0.041,133.108,4,0.451
Soular,Everything Changes,0.001,0.549,244467,0.714,0.875,6,0.121,-6.807,1,0,0.0339,110.026,4,0.224
Dimmu Borgir,Master Of Disharmony,7.52e-06,0.0634,255693,0.942,0.769,9,0.364,-5.603,1,23,0.104,72.268,4,0.102
Public Image Ltd,(This Is Not A) Love Song (Live),0.00261,0.573,524000,0.705,0.00076,9,0.31,-7.315,0,13,0.055,129.04,4,0.439
Gary Moore,What Are We Here For,0.00112,0.542,345893,0.745,0.0043,2,0.235,-6.769,1,7,0.0344,76.929,4,0.444
Pascal Sangla,Une petite pause,0.511,0.536,243800,0.272,0.873,9,0.0677,-14.858,1,0,0.0281,92.845,4,0.301
The B-52's,Wig,0.0036,0.595,261893,0.939,0.0,0,0.161,-8.014,1,21,0.0507,124.124,4,0.801
Dakis,Perasmena Mesanihta,0.351,0.582,172343,0.52,0.0,2,0.323,-8.194,0,0,0.0318,100.093,4,0.536
Sex Pistols,God Save the Queen (Live),0.000982,0.276,203825,0.978,2.39e-05,8,0.938,-5.837,1,23,0.0763,152.72,4,0.235
Chris Brown,Forever,0.0368,0.672,278573,0.82,0.000188,11,0.184,-4.456,1,72,0.0459,120.005,4,0.438
Hem,Have Yourself A Merry Little Christmas,0.913,0.262,206600,0.137,6.74e-06,8,0.267,-15.235,1,45,0.0344,92.183,3,0.288
Lily Allen,U Killed It,0.0504,0.645,264852,0.647,6.9e-05,4,0.0672,-6.194,0,15,0.0342,77.999,4,0.605
Pentangle,Rain And Snow,0.32,0.411,228013,0.665,0.0,5,0.132,-10.217,1,15,0.0372,178.796,4,0.856
DJ Dips,Gerra De De,0.19,0.763,238347,0.897,0.000797,1,0.106,-5.88,1,29,0.134,129.985,4,0.916
Ana Bekuta,Kako mi je pitas sad,0.0507,0.613,144586,0.534,1.17e-05,0,0.132,-13.946,1,1,0.0441,160.228,3,0.92
Jason Miles,Voices On The Corner,0.00991,0.85,235760,0.53,0.814,8,0.129,-9.676,1,0,0.0951,101.014,4,0.539
Busdriver,(Bloody Paw On The) Kill Floor,0.175,0.768,192120,0.836,0.0,6,0.298,-5.64,1,11,0.172,77.509,4,0.731
Byther Smith,I Wish My Mother Was Here,0.126,0.615,389200,0.512,0.00167,1,0.0931,-11.501,1,1,0.0368,117.61,3,0.775
Bizarre Inc,Miracle,0.00895,0.613,420133,0.783,0.00812,1,0.205,-9.03,0,1,0.0291,139.826,4,0.415
Bongzilla,Witch Weed (Live),0.000188,0.115,397267,0.905,0.209,9,0.189,-7.437,1,10,0.131,83.979,4,0.193
The Gone Jackals,Not Buried Deep Enough,0.000387,0.395,229800,0.886,1.48e-05,4,0.0938,-13.165,1,6,0.0615,101.562,4,0.224
The Willis Brothers,Give Me 40 Acres (To Turn This Rig Around),0.502,0.713,150707,0.625,0.0,7,0.119,-7.764,1,0,0.0543,122.416,4,0.961
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,Ernesto Nazareth,0.973,0.425,286160,0.105,0.905,2,0.101,-24.318,0,2,0.0499,96.438,3,0.414
Boogie Pimps,Get Back Down,0.00508,0.919,415035,0.469,0.729,10,0.126,-7.404,0,0,0.162,124.994,4,0.317
Brian Keane,Battle Of The Rosebud / Cries,0.809,0.172,130533,0.068,0.966,6,0.15,-31.119,0,0,0.0439,118.218,4,0.0431
Aberdeen,Beyond the Light,0.00937,0.323,266667,0.836,0.453,9,0.289,-12.896,1,0,0.0454,135.684,4,0.662
The Killers,Spaceman,0.00151,0.611,355873,0.673,0.000447,1,0.0826,-9.686,0,24,0.0417,137.988,4,0.54
20/20,It Goes On,0.974,0.249,185707,0.214,0.0034,8,0.0862,-14.365,1,7,0.0428,88.013,3,0.218
Orbital,Illuminate,0.000863,0.597,328000,0.837,0.0,5,0.107,-6.382,1,47,0.0385,125.971,4,0.531
Bone Thugs-N-Harmony / Akon,Never Forget Me,0.0304,0.663,286240,0.491,0.0,1,0.0952,-7.194,1,41,0.0601,76.957,4,0.0427
Moonsorrow,Ukkosenjumalan poika,1.53e-06,0.195,369573,0.977,0.824,9,0.103,-5.166,1,19,0.1,115.225,4,0.107
Rage Against The Machine,Kick Out The Jams,0.000422,0.44,190693,0.937,2.35e-05,2,0.799,-2.418,1,45,0.0623,116.42,4,0.498
Jazz Gillum,Me And My Buddy,0.729,0.801,185574,0.303,0.00215,5,0.318,-15.667,0,0,0.149,101.253,4,0.834
Rise Against,Amber Changing,0.000177,0.315,176147,0.968,9.38e-05,10,0.129,-3.554,0,34,0.139,105.692,3,0.518
Ultraviolence,Murder Academy,0.044,0.674,303040,0.884,0.861,1,0.0918,-11.119,1,1,0.0855,105.202,4,0.0352
Korn,Hey Daddy,5.18e-05,0.465,224680,0.803,0.0465,7,0.0809,-6.764,1,43,0.0452,93.899,4,0.493
Sir Neville Marriner,4 Sea Interludes Op. 33a: Storm,0.82,0.265,315227,0.303,0.567,4,0.0908,-16.811,1,0,0.0444,99.049,4,0.144
Agnes,I Need You Now,0.0234,0.587,226187,0.659,1.12e-06,7,0.161,-4.179,1,29,0.0293,123.976,4,0.29
James Horner,Atmosphere Station,0.729,0.162,191760,0.00728,0.676,4,0.119,-39.455,0,23,0.0472,110.736,4,0.032
Tantric,Walk Away,0.000221,0.514,177253,0.973,3.7e-06,2,0.117,-1.992,1,15,0.0422,160.048,4,0.871
Mastodon,Shadows That Move,1.02e-05,0.309,233587,0.972,0.142,1,0.202,-3.889,1,25,0.127,134.013,3,0.564
Xcultures,Smile,0.632,0.315,38360,0.301,0.00811,9,0.608,-16.693,0,0,0.054,121.488,5,0.425
The Irish Tenors,Mountains Of Mourne,0.945,0.55,101000,0.141,1.64e-06,10,0.735,-17.57,1,11,0.208,120.689,4,0.257
U2,Kite Live from Sydney,0.107,0.475,485227,0.547,0.00269,3,0.971,-7.75,1,32,0.0282,133.927,4,0.137
Korn,Ever Be,0.000164,0.474,288733,0.902,0.262,0,0.231,-6.087,1,33,0.0491,160.056,3,0.324
Percy Faith,Yesterdays,0.796,0.211,160693,0.318,0.000137,0,0.265,-13.833,0,1,0.0317,96.854,3,0.243
Extreme,Teacher's Pet,0.0683,0.603,181893,0.81,0.000212,6,0.365,-9.682,1,28,0.0477,120.114,4,0.722
Prozak,Go To Hell,0.0474,0.54,173320,0.718,0.0,1,0.177,-5.866,1,11,0.429,177.898,4,0.263
Yvette Horner,La Plus Bath Des Javas,0.448,0.688,147973,0.493,0.707,7,0.0427,-5.903,1,10,0.103,161.673,3,0.958
Delta 9,Infidel,0.907,0.479,96256,0.911,0.877,1,0.261,-7.766,1,0,0.495,70.699,3,0.305
Placebo,English Summer Rain,0.00418,0.573,241467,0.909,0.00333,10,0.0825,-7.894,0,46,0.0516,108.27,4,0.517
Gertrudis,Intro,0.529,0.562,106520,0.45,0.000911,9,0.643,-12.258,0,5,0.0279,97.797,4,0.547
Warrior King,Empress So Divine,0.162,0.632,224280,0.63,0.0,10,0.0385,-4.851,1,11,0.0704,80.66,4,0.728
Soda Stereo,Terapia De Amor Intensiva,0.251,0.593,340213,0.672,0.418,7,0.555,-7.417,1,46,0.0256,91.294,4,0.64
LORE,Haunting,0.0178,0.623,206267,0.493,0.000873,8,0.173,-10.982,0,0,0.0414,129.959,4,0.218
