Id,id2,ArtistName,SongTitle
TRAAHTH12903CCFFE1,SOIQHDR12AB01896C8,Ellen McIlwaine,Spontanous Combustion
TRAAHVY128F92E25D6,SODLSHA12AAF3B29F2,Vince Guaraldi / Bola Sete,Choro
TRAAHXN128F9326097,SOAGHMH12AB0180285,Maurice Chevalier,Ma Louise
TRAAHYV128F932A425,SORAVUP12AB018556E,Carl Cox Vs Yousef,I Want You (Forever)
TRAAHZP12903CA25F4,SOFXNQP12AB0184F1A,Organized Konfusion,Hate
TRAAIAE128F42AC53D,SOGQTRZ12A8C13C8B0,Martina McBride,I Can't Stop Loving You
TRAAIAN12903CFF16D,SOBHVZQ12AC9618285,Horace Andy,Thank You Lord
TRAAIAX128F930531B,SOYPBCY12AB0181EF3,Nazz,How Can You Call That Beautiful (Stewkey Vocal)
TRAAIBB12903CECB35,SOWRLSY12AC4687694,Tyrone Davis,Cheatin' In The Next Room
TRAAIDY128F92CA454,SOOGQWR12A8C142505,Hot Tuna,Candy Man
TRAAIFG12903CB0BCB,SOJDYQY12AB0188C97,Richard Burton,I See The Boys Of Summer
TRAAIGD12903CA2F3C,SOBHQUF12AB018B03E,Rory Block,Three Is a Crowd
TRAAIHL128F92E6DDA,SOFRAZJ12A8C143CDB,Boyz II Men,On Bended Knee
TRAAIIE128F4288BB1,SONNDHT12A8C13F20B,Howard Armstrong,My Four Reasons
TRAAIII128F427D5D8,SOYZOXW12A8C13E195,Donny Hathaway,Little Girl (LP Version)
TRAAILM128F93480BB,SOSGJTX12AB0181F7C,Miguel Gallardo,Eternamente Amame
TRAAINT128F933BBE0,SOBQBWP12AB018611B,Les Ogres De Barback,Niev nietch nievitch
TRAAIRG128F93265E8,SODULLV12AB017FA09,DJ X-Change featuring DJ Joey A,Come Over
TRAAIXN128F428027A,SOYAGJM12A8C13DCCE,Morel,Blue Taxi
TRAAIXU128F4241E5C,SORXUZZ12A8AE4798A,Tony Joe White,I Want Love (Tween You & Me) (Album Version)
TRAAIYR12903CD290D,SOCHXAE12AF72A25D6,Wolfmother,White Feather
TRAAJAC128F148B530,SOCRHCQ12A58A7C8C6,The Roches,Christlike Roche
TRAAJBU128F9326C02,SOSEJIQ12AB017E7EB,Bob Margolin,You Rascal You
TRAAJBU12903CE2831,SOMXWXQ12AC3DFA002,Thomas Battenstein,Sympathy
TRAAJEK128F422F55A,SOGMXBW12A6D4FB8D7,Jupiter Rising,They Say (Album)
TRAAJEK12903CE351A,SOOPUTF12AB018DFAA,Dharma Bums,Simon's Folly
TRAAJJA12903CC518A,SOFDTRZ12AB018DD11,Saafir,Crawl Before You Ball (Album Version)
TRAAJJG128F4284B27,SOOGNJP12A8C1381AD,The Verve Pipe,Medicate Myself
TRAAJJV128F42A2F99,SOFUBCP12A8C13D5EF,Bob Neuwirth,Biding Her Time
TRAAJMH128E0785407,SOVZBDR12A6702012E,Marvin Sapp,More And More  (LP Version)
TRAAJNM12903CF4750,SOPWKSS12AC468E659,James Hunter,Cowboy Ways
TRAAJSX128F4275A1D,SOCCQIQ12A8C13C76B,Nelson Ned,Brasas Vivas
TRAAJVJ128F42570AD,SODBMZD12A8C134232,Mish Mash,Kolomeyke
TRAAJXQ128F92E65BF,SOBUWPY12A8C1446C0,Cama,In This Life
TRAAJYX128F4255568,SORWXUP12A58A79E65,Maxi Priest,Groovin' In The Midnight
TRAAKAS128F4246013,SOJEVZW12A8C133988,Porcupine Tree,Waiting
TRAAKAV128F931BE25,SOOODKC12AB018462F,Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster)
TRAAKDF128F92FA302,SODOLVO12B0B80B2F4,Foo Fighters,Hell
TRAAKDG128F42A0ECB,SOEHWGF12A6D4F8B2B,Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean)
TRAAKJJ128F4228346,SOOZLTC12A6D4FBE91,The Avengers,Juoksuhauta-twist (Elämä juoksuhaudoissa)
TRAAKNS12903CC5198,SOOSYMY12AB01888CD,Robben Ford,I Got Over It (Album Version)
TRAAKQS128F4224DE1,SOPBKEB12A6D4FD777,Brazilian Tropical Orchestra,One Less Bell To Answer
TRAAKSB128F934D73A,SOEWQYW12AB0183FDE,Gil Semedo,Festa
TRAAKTK128F9343DCC,SOFBQIA12AB0182219,Soda Stereo,Te Hacen Falta Vitaminas
TRAAKVA128F934E69E,SOHDDHR12AB0183552,Xmilk,Sense And Trick
TRAAKVD12903CE8474,SONWQQX12AC3DF6762,Dolce; Oscar G.,Fire (Oscar G Space Vocal Mix)
TRAAKVZ12903D074BB,SOGXFIF12A58A78CC4,Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals)
TRAAKXN128F92E71B1,SOIPNSZ12A8C144128,Schizoid,Grim Prospects (Version 2 Remix)
TRAALCM128F4264370,SOEXSIN12A8C133B0A,Toni Braxton Featuring Shaggy,Christmas In Jamaica
TRAALDU128F930D56B,SOTSMNJ12AB018365E,Perrey And Kingsley,Gossippo Perpetuo
TRAALEO128F42A7AEA,SOLGRUN12A8C140543,Sven Tasnadi,2190 Dias Contigo
TRAALHD12903D0BD6A,SOQCHGV12AC4688FC6,Eddie,No Control
TRAALNG12903D014E9,SOXCWTT12AC9075756,Enthroned,The Vitalized Shell
TRAALRZ128F429024E,SOAFIPD12A8C13A261,Suzanne Ciani,Mozart
TRAALSV128F4282B9B,SOMJPML12A8C13D74E,Milan Band,Ciao Milan
TRAALUX12903CFD50B,SOCVDYI12AC4687DDB,Johnny Osbourne,Lend Me Your Chopper
TRAALZC128F92E11A6,SOEVGMZ12A8C1421B5,Dolly Parton,Letter To Heaven
TRAALZN128F932D457,SOCGURJ12AB0182AEE,Rance Allen Group,Heaven is Where The Heart Is
TRAAMES128F42AF068,SOHTWLT12A8C13CFE1,Pearl Jam,Inside Job
TRAAMFG128F92FDEA2,SOVQZYP12A8C144692,Natalie Cole,Take A Look  (LP Version)
TRAAMFT128F93128AD,SOHHANU12A58A77C66,Mastodon,The Czar: Usurper/Escape/Martyr/Spiral (Album Version)
TRAAMGJ12903CD315C,SOTHWPG12AB018C90E,Kiril Valeri,Bulgarian Dream
TRAAMII128F933B583,SOOQHNV12AB0186CD4,Word,Amalgama
TRAAMJY128F92F5919,SOSGXRU12AAF3B2B07,DJ Quik,Born and Raised In Compton
TRAAMKI128F428537A,SOFRUDU12A8C13A40C,Hank Locklin,We're Gonna Go Fishin'
TRAAMKL128F9347D8A,SONXLQQ12AB0184B54,BT,Robbers Kill Cop
TRAAMKP12903CC74F4,SOKPHVH12AB0187460,2-4 Grooves feat. Reki D.,Relax
TRAAMKW128F4249CF0,SOIUGDX12A6D4FDECA,The Jordanaires,Sweet By And By
TRAAMPA128F92E7D0D,SOAYYDM12AB01817E6,Descendents,Orgofart
TRAAMSO128EF348DCC,SORAJXA12A58A7A4C9,L.A. Guns,Bitch Is Back
TRAAMXP128F4264F6A,SODJUNF12A8C13337F,Bare Jr.,Naked Albino
TRAAMYQ128F148B753,SOVDDWO12A6D4F9A78,Shelley Fabares,Johnny Loves Me (LP Version)
TRAAMZB12903CAB002,SOFGQAP12AB0185946,Norrie Paramor,Dearly Beloved
TRAAMZR128F9315DCC,SORGLCR12AB0184B69,Gary Hobbs,The Look Of Love
TRAANBH128F9345A6C,SOLBIIE12AB0184DFC,Diesel Boy,Cooler Than You
TRAANKK128F42531BC,SORHOEV12A81C20F71,Angelo Badalamenti,Taryns Deepest Fear
TRAANLO128F422AE37,SOFPYXC12A58A7A4B9,Cradle Of Filth,Summer Dying Fast
TRAANLZ128F934EC42,SOFQGCQ12AB0183609,Jim Chappell,Still
TRAANMF12903CEAFEF,SOEBDBO12AC4688712,Ladybug,Snapshot
TRAANRI12903CD0A9C,SONIQSB12AB0189829,Bandido,End Of The Road (Head Hornys Remix)
TRAANTD128F9323B23,SOYNEII12AB0181DB6,Brixx,7 Miles
TRAANTZ128E0792529,SOKIGWD12A6701DE9D,Nine Inch Nails,The Frail
TRAAODT12903D0D16E,SOHXKAN12AC46872F1,Susana Seivane,Para Milladoiro
TRAAOEH128F426A82F,SOQZHMH12A8C13A393,Leland Martin,Stone Cold Fingers (Bonus Track)
TRAAOIN128F9303790,SOLEYPL12A6D4F83CE,Test Icicles,Snowball
TRAAOJI128F1458DCD,SOZFCNC12A6D4F76F3,Heaven 17,(We Don't Need This) Fascist Groove Thang
TRAAOPW128F428AE31,SOPUQFS12A8C13DE1E,React,Drunk Alone
TRAAORY128F934984F,SOPNRDT12AB018A2D8,Sven Tasnadi,Charisma
TRAAOTD128F42322FC,SOGTLVU12A8AE47D5D,Mance Lipscomb,Going Down Slow
TRAAOTT128F14AE002,SOXNMDZ12A6D4FA20D,Scott Wesley Brown,All Rise
TRAAOTT128F9342E04,SOGOJBW12AB018513B,Flávio José,Jogo Limpo
TRAAOXM12903CFB3B0,SONNOCP12A8C145220,Moss,Silent Hill
TRAAOYG128F9314996,SOUDHTP12AB0183403,Pery Ribeiro,Our Love Is Here To Stay
TRAAPCC128F42519A7,SOWDEPU12A8C137B14,Soular,Everything Changes
TRAAPFQ128F42684DB,SOJBYGW12A8C13A497,Dimmu Borgir,Master Of Disharmony
TRAAPGF128F1458F8B,SOQDTQP12A6D4F793F,Public Image Ltd,(This Is Not A) Love Song (Live)
TRAAPIV128F1493132,SOJHKYL12A6D4FA0AC,Gary Moore,What Are We Here For
TRAAPLS12903CB2D40,SOJVWBA12AB018C326,Pascal Sangla,Une petite pause
TRAAPPQ128F14961F5,SONRSQW12A6D4F6D1C,The B-52's,Wig
TRAAPQQ128F427C750,SONTBYD12A58A77A29,Dakis,Perasmena Mesanihta
TRAAPSQ12903CAE86A,SOMKMPB12A8C1447D0,Sex Pistols,God Save the Queen (Live)
TRAAPVV128F425D64C,SOSGQPS12A8AE48538,Chris Brown,Forever
TRAAPWD128F931ACD4,SOKENJQ12AB017EC8C,Deekline & Wizard,Sun Is Shining
TRAAPXK128F934DF25,SOBNTXB12A8C1428BA,Daniela Dessì,New Age
TRAAQBF12903CF796B,SOIKIJC12AC3DFB3D2,Hem,Have Yourself A Merry Little Christmas
TRAAQCK128F92E8C33,SOFJNQR12A6D4FAE92,Lily Allen,U Killed It
TRAAQDJ128F92F95E0,SOGDFIT12AB018528B,Pentangle,Rain And Snow
TRAAQDL12903CA8FB5,SOOIZTH12AB018C12E,DJ Dips,Gerra De De
TRAAQEV12903CB5459,SOQPJUL12AB0189379,Ana Bekuta,Kako mi je pitas sad
TRAAQFC128F425ED83,SOMBQEO12A8C135018,Jason Miles,Voices On The Corner
TRAAQIH128F428BDEA,SOCQWKZ12A8C13CE4C,Busdriver,(Bloody Paw On The) Kill Floor
TRAAQLE128F424AE71,SONETAN12A58A7ACEB,Byther Smith,I Wish My Mother Was Here
TRAAQLJ128F428E870,SOKEXTF12A8C13AE7E,Bebo & Cigala,Inolvidable
TRAAQOH128F4265CE6,SOUJISW12CF4E09416,Bizarre Inc,Miracle
TRAAQPS128F429161D,SOJKDKH12A58A761A2,Bongzilla,Witch Weed (Live)
TRAAQUC128F9322A82,SOTWWBZ12AB01845E0,The Gone Jackals,Not Buried Deep Enough
TRAAQUF12903CDF4A4,SOKZTUH12AB018B938,The Willis Brothers,Give Me 40 Acres (To Turn This Rig Around)
TRAAQWF128F92D1AAD,SOQDTZG12A8C1442E3,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,Ernesto Nazareth
TRAAQYN128F92ED77E,SOIFOLA12AB017CDA1,S.U.P,The Cube (Live)
TRAAQYU12903CE68CE,SOKHVZO12AB0184C4D,Boogie Pimps,Get Back Down
TRAAQZF12903CEDCB8,SOMISOP12AC468D9D5,Brian Keane,Battle Of The Rosebud / Cries
TRAAQZQ128EF35C51A,SOOZKNQ12A6D4F6FD4,Aberdeen,Beyond the Light
TRAARHS128F931689D,SOGOQGE12AB0182907,The Killers,Spaceman
TRAARRG12903CDB456,SOWTIDJ12AB018808C,Gloriana,Pulecenella 'e mò
TRAARSF12903CD1B12,SONIHLC12AB0187B0C,Butterfly Temple,Iskorosten' (instr.)
TRAARUN128F932B1A0,SOLBHCO12AB018769A,Grant Geissman,Big Stax/High Volts (Album Version)
TRAASDM12903CD474E,SOVZVPT12AB018A59E,20/20,It Goes On
TRAASEO128F9337C48,SOZWDHS12AB0188A33,José Augusto,Pecado De Amor
TRAASFP128F42980BD,SOFSKON12A8C13B3B5,Orbital,Illuminate
TRAASGM128EF34DBB0,SOBOCAG12A6BD55D56,Bone Thugs-N-Harmony / Akon,Never Forget Me
TRAASIG128F92C3A6B,SONCYFS12A8C14261E,Moonsorrow,Ukkosenjumalan poika
TRAASKO128F427CE1C,SOTNBNN12A6D4F6CC7,N.W.A.,A B***** Is A B***** (Edited)
TRAASKQ128F4265E04,SOXZLDX12A58A7CE52,Rage Against The Machine,Kick Out The Jams
TRAASOD128F428154C,SOEESQT12A8C13C7D5,Jazz Gillum,Me And My Buddy
TRAASQC128F93480F0,SOSKUNI12AB0187F12,Rise Against,Amber Changing
TRAASSO12903CDD2FF,SOSLFMU12AB018FFEA,Ultraviolence,Murder Academy
TRAASUZ128F9314950,SOOKISK12AB0180667,Korn,Hey Daddy
TRAASYO128F4263883,SOVGBEK12A8C134E04,Sir Neville Marriner,4 Sea Interludes Op. 33a: Storm
TRAASZE128F93499AE,SORJOMF12AB0186F78,Agnes,I Need You Now
TRAATBN128F14ACE82,SOVTGXQ12A6D4FB9CA,James Horner,Atmosphere Station
TRAATGM12903C9CD7C,SOLKTEK12AB018BE1A,Tantric,Walk Away
TRAATIU128F4291A84,SODYZIU12A8C13FBD9,Mastodon,Shadows That Move
TRAATJK128F9339179,SOJRCDU12AB0189D27,Xcultures,Smile
TRAATLC12903D0172B,SOBMHTY12AC9097B7C,The Irish Tenors,Mountains Of Mourne
TRAATMY128F149562F,SOZWHVZ12A6D4F90E7,U2,Kite Live from Sydney
TRAATMY128F9334DAC,SOQAHUW12AB0181F04,Little Joe,Loco (Crazy)
TRAATNJ128F42631BA,SOVHRBI12A81C22E02,Korn,Ever Be
TRAATNN128F92FD35F,SOHULHF12AB017F6CF,Blind Blake & The Royal Victoria Hotel Calypsos,Oh Look Misery
TRAATOA12903CAD615,SOFWWGY12AB0185BC5,Percy Faith,Yesterdays
TRAATPA128F146753C,SOEETVW12A6D4F93B8,Extreme,Teacher's Pet
TRAATQC128F425AF61,SOJTIKK12A8C13B15E,Alexandre Desplat,Palmer enquête
TRAATWQ12903CC5BA8,SOQBQWN12AB0186782,Prozak,Go To Hell
TRAATXO128F92D97A6,SOKLQWF12A8C1423F2,Jerry Butler,Moon River - Original
TRAATZQ128F425E5F1,SORQLMX12A8C133FCD,Yvette Horner,La Plus Bath Des Javas
TRAAUDN128F933F20D,SOCLQKJ12AF72A4AB0,Delta 9,Infidel
TRAAUEO128E0780CB9,SODWXQV12A6310F10D,Placebo,English Summer Rain
TRAAUGD128F42734DA,SORKRKK12A8C13C12F,Tam Tam Go!,Spanish Shuffle (Album Version)
TRAAUGZ128F9307F78,SOQPPKZ12A58A7B1EC,Gertrudis,Intro
TRAAUIH128F4254C9D,SOXSUNF12A8C134195,Warrior King,Empress So Divine
TRAAUKK128F933A680,SOVRJYX12AB01844E1,Soda Stereo,Terapia De Amor Intensiva
TRAAUMJ128F933BDB6,SOMOHEI12AB018785F,LORE,Haunting
TRAAUMN128F4273561,SOOGRLD12A8C132B2F,Soul Asylum,Lies Of Hate
TRAAUMZ12903CA97DC,SODAEVD12AB01886BB,Carl Doy with NZSO,The First Noel
TRAAUSW128F426646E,SOAESJW12A8C137CC2,Horace Andy,Musical Episode
TRAAUWD128F930DD4E,SOHCYVK12AB017BBF2,Jimmy Wakely,Beautiful Brown eyes
TRAAUZI12903CAFD53,SOCWXYM12AB018BDF3,The Nightraver & The Magican,Drop the Bass
TRAAUZX128F92F3D53,SOSYVIZ12A8C141964,Rah Digga (Featuring Outsidaz),The Last Word (Amended Version)
TRAAVAH128F4284D7C,SOTVEKK12A8C1392E1,RUN-DMC,Hard Times
TRAAVDZ128F148C948,SOHGAJH12A6D4F8F58,Bert Kaempfert And His Orchestra,Just As Much As Ever
TRAAVGB12903CFAA99,SOCTSJA12AC9618325,Hank Locklin,Filipino Baby
TRAAVIH12903CFAC90,SOTYCYE12AC468AA08,Lady May,The Boss
TRAAVIT128F92E657C,SOAKXET12CF5F86E71,Nightwish,Escapist
TRAAVJL128F14ACADD,SOYDHCW12A6D4F9A2E,Angelo Badalamenti,Jeffrey's Dark Side
TRAAVKY12903CBBB93,SOGBJSK12AB018D052,Frank Chacksfield,Someone to Watch Over Me
TRAAVNN128F428A85D,SOSTFTW12A8C13B84A,Cesar Camargo Mariano/Helio Delmiro,Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente
TRAAVOK12903CC4773,SOLHFZF12AB018AB3E,Buzzhorn,Pinned To The Ground (album version)
TRAAVOU128F422F292,SOZEHMC12A6D4F9F30,Silverstein,Always And Never (Album Version)
TRAAVRJ128F92FF90A,SOYHNTG12A6D4F5703,!!!,Myth Takes
TRAAWAD128F92FA59F,SOGBRIU12A582A214C,The Secret Life of Teenage Girls,Carpe PM
TRAAWDK128F92E2A17,SOLCPEB12A58A7BF47,The Notorious B.I.G.,Who Shot Ya (Amended Album Version)
TRAAWGY128F4298A09,SOFOGMR12A8C140FFF,Led Zeppelin,Poor Tom (Album Version)
TRAAWOR128F92DF3C8,SOBJYXZ12A8AE45FF1,Sandi Thom,Wounded Hearts
TRAAWQD12903CAA968,SOGJSEF12AB01847D4,Carl Belew,Love's Been Good To Me
TRAAWUH128F427F12C,SOCVGQS12A8C13D7DF,The Field Mice,When Morning Comes To Town
TRAAWUM128F426009A,SOGVRHK12A8AE47FFB,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,Estate
TRAAWVQ128F9313D31,SOGGYSM12A58A79111,Catherine Howe,Freedom Enough (From Silent Mother Nature)
